                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.92903,                0.50426,                0.92673,                 0.9092,                0.93063,                0.96581,                0.72333,                0.97844,                0.50544,                0.96056,               0.001154,               0.001154,               0.001154
                     49,                0.91154,                0.48728,                0.91655,                  0.921,                0.92068,                0.97088,                0.73102,                0.96312,                0.50398,                0.95085,               0.001136,               0.001136,               0.001136
                     50,                0.92364,                0.49598,                0.92435,                0.91741,                0.92467,                0.97325,                0.72407,                0.97596,                0.50668,                0.95384,               0.001118,               0.001118,               0.001118
                     51,                0.92223,                0.49766,                0.92711,                0.89994,                0.94065,                0.97061,                0.73808,                0.96657,                0.49941,                0.95277,                 0.0011,                 0.0011,                 0.0011
                     52,                0.91178,                0.48697,                0.92993,                0.92131,                0.91035,                0.96973,                0.73731,                0.96387,                0.49687,                0.95128,               0.001082,               0.001082,               0.001082
                     53,                0.90143,                0.48141,                0.92168,                0.92248,                0.91142,                0.96778,                0.73117,                0.96894,                0.49429,                0.95227,               0.001064,               0.001064,               0.001064
                     54,                0.89451,                0.47389,                0.91642,                0.93665,                0.89861,                0.96591,                 0.7217,                0.99129,                0.50391,                0.95851,               0.001046,               0.001046,               0.001046
                     55,                0.89121,                0.48375,                0.91637,                0.91767,                0.93063,                0.97032,                0.73069,                0.98478,                0.48963,                0.95337,               0.001028,               0.001028,               0.001028
                     56,                0.91538,                 0.4909,                0.92085,                0.91188,                0.92765,                0.97073,                 0.7207,                0.99063,                0.51014,                0.96158,                0.00101,                0.00101,                0.00101
                     57,                0.92276,                0.47948,                0.92247,                0.89909,                0.94664,                0.97128,                0.73061,                0.98266,                0.48888,                0.95723,               0.000992,               0.000992,               0.000992
                     58,                0.88601,                0.47007,                0.91593,                0.89832,                0.93703,                0.97046,                0.73632,                0.95783,                0.48015,                0.95033,               0.000974,               0.000974,               0.000974
                     59,                0.89179,                0.47702,                0.91487,                0.92177,                0.91996,                0.97375,                 0.7349,                0.96918,                0.49414,                 0.9535,               0.000956,               0.000956,               0.000956
                     60,                0.89482,                0.47582,                0.91647,                0.91233,                0.92529,                 0.9739,                0.73382,                0.96234,                0.48361,                0.94634,               0.000938,               0.000938,               0.000938
                     61,                0.88167,                0.46721,                0.91454,                0.91883,                 0.9285,                0.97183,                0.73602,                0.96752,                0.48076,                0.95068,                0.00092,                0.00092,                0.00092
                     62,                0.88641,                0.47475,                0.91881,                0.91041,                0.94356,                0.97529,                 0.7322,                0.98133,                0.47497,                0.95117,               0.000902,               0.000902,               0.000902
                     63,                0.90487,                0.47637,                0.91472,                  0.921,                0.93317,                0.97526,                0.73158,                0.96481,                0.48856,                0.94791,               0.000884,               0.000884,               0.000884
                     64,                 0.8932,                0.46402,                0.91854,                0.92516,                0.93669,                0.97444,                0.73518,                0.97747,                0.48296,                0.95231,               0.000866,               0.000866,               0.000866
                     65,                0.88997,                0.46688,                0.91791,                0.92384,                0.92423,                 0.9737,                0.74133,                0.96225,                 0.4757,                0.94741,               0.000848,               0.000848,               0.000848
